FirstName,LastName,Email,Address,Subscription Plan,Monthly Streams Limit,Cost,Credit Card Number,ExpDate,Song Title,Artist Name,Album Title,Genre,Device,Song Length (min),Playlist Name,Playlist Position,Date,Over Limit,Pay-Per-Stream Fee
Rob,White,oakave.robwhite@music.com,"6246 Oak Ave, CA",Premium,100,9.99,8388-8666-6640-5291,6/6/2025,Way Maker,Leeland,Better Word,Classical,Mobile,8,Workout,95,5/27/2024 14:52:58,No,0
Alice,Martin,pinerd.alicemartin@music.com,"7429 Pine Rd, CA",Premium,100,9.99,1503-4290-9720-9480,6/1/2025,God Only Knows,for KING & COUNTRY,Burn the Ships,Pop,Tablet,3,Party,78,5/22/2024 14:50:35,No,0
Karen,Lee,pinerd.karenlee@music.com,"6915 Pine Rd, TX",Basic,50,4.99,1228-4305-7678-5901,5/27/2025,Till I Found You,Phil Wickham,Living Hope,Hip-Hop,Mobile,5,Road Trip,41,5/10/2024 14:51:24,No,0
Karen,Thomas,pinerd.karenthomas@music.com,"5875 Pine Rd, MI",Premium,100,9.99,3911-6003-2838-4752,5/22/2025,Reckless Love,Cory Asbury,Reckless Love,Pop,Mobile,5,Relax,40,5/14/2024 14:50:11,No,0
Nina,Johnson,pinerd.ninajohnson@music.com,"3588 Pine Rd, PA",Premium,100,9.99,3522-5319-7539-2982,5/17/2025,Who You Say I Am,Hillsong Worship,There Is More,Blues,Tablet,5,Chill,81,5/9/2024 14:53:02,No,0
Quinn,Miller,pinerd.quinnmiller@music.com,"8079 Pine Rd, IL",Premium,100,9.99,4945-5738-3355-9075,5/12/2025,Chain Breaker,Zach Williams,Chain Breaker,Blues,Desktop,3,Party,43,5/8/2024 14:50:05,No,0
Tom,Perez,pinerd.tomperez@music.com,"1411 Pine Rd, PA",Basic,50,4.99,9320-3615-5339-2852,5/7/2025,Living Hope,Phil Wickham,Living Hope,Classical,Mobile,5,Road Trip,23,5/8/2024 14:53:04,No,0
Alice,Scott,spruceln.alicescott@music.com,"5064 Spruce Ln, MI",Basic,50,4.99,9779-7465-6240-9848,5/2/2025,Good Grace,Hillsong UNITED,People,Rock,Tablet,8,Workout,71,5/5/2024 14:49:33,No,0
Carol,Thompson,spruceln.carolthompson@music.com,"439 Spruce Ln, CA",Premium,100,9.99,7391-5836-1385-2807,4/27/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Pop,Desktop,7,Workout,82,5/31/2024 14:51:17,No,0
Dave,Martin,spruceln.davemartin@music.com,"6811 Spruce Ln, CA",Basic,50,4.99,5088-5615-3100-6533,4/22/2025,Who You Say I Am,Hillsong Worship,There Is More,Blues,Tablet,5,Party,76,5/26/2024 14:49:17,No,0
Hank,Clark,spruceln.hankclark@music.com,"7660 Spruce Ln, MI",Free,10,0,6883-6662-3725-4739,4/27/2025,Living Hope,Phil Wickham,Living Hope,Hip-Hop,Tablet,5,Workout,27,5/25/2024 14:52:27,No,0
Ivy,Perez,spruceln.ivyperez@music.com,"420 Spruce Ln, OH",Free,10,0,8175-3029-9554-3280,5/2/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Reggae,Mobile,6,Workout,51,5/29/2024 14:50:28,No,0
Jack,Clark,spruceln.jackclark@music.com,"8865 Spruce Ln, OH",Basic,50,4.99,7667-6145-9527-8335,4/27/2025,Do It Again,Elevation Worship,There Is a Cloud,Classical,Desktop,6,Sleep,98,5/2/2024 14:51:30,No,0
Leo,Jackson,spruceln.leojackson@music.com,"4789 Spruce Ln, PA",Basic,50,4.99,9245-5460-2999-9924,4/22/2025,Holy Water,We The Kingdom,Holy Water,Blues,Desktop,5,Chill,29,5/21/2024 14:52:52,No,0
Mona,Lopez,spruceln.monalopez@music.com,"5897 Spruce Ln, MI",Basic,50,4.99,8818-9751-9089-8012,4/17/2025,King of Kings,Hillsong Worship,Awake,Rock,Mobile,5,Workout,68,5/4/2024 14:51:12,No,0
Pam,Anderson,spruceln.pamanderson@music.com,"3409 Spruce Ln, MI",Free,10,0,8247-2649-9362-2785,4/22/2025,Reckless Love,Cory Asbury,Reckless Love,Country,Mobile,5,Study,48,5/20/2024 14:49:45,Yes,0.25
Sara,Anderson,spruceln.saraanderson@music.com,"145 Spruce Ln, FL",Basic,50,4.99,9688-7888-5256-7438,4/17/2025,Living Hope,Phil Wickham,Living Hope,Metal,Desktop,5,Study,76,5/28/2024 14:51:43,No,0
Alice,Taylor,willowblvd.alicetaylor@music.com,"1767 Willow Blvd, NC",Premium,100,9.99,9858-8354-4365-8537,4/12/2025,Holy Water,We The Kingdom,Holy Water,Classical,Tablet,5,Relax,49,5/12/2024 14:52:36,No,0
Leo,Wilson,willowblvd.leowilson@music.com,"880 Willow Blvd, PA",Free,10,0,2864-2946-7875-1202,4/17/2025,Graves Into Gardens,Elevation Worship,Graves Into Gardens,Metal,Desktop,7,Party,51,5/3/2024 14:50:04,Yes,0.25
Bob,Miller,ashdr.bobmiller@music.com,"7096 Ash Dr, OH",Premium,100,9.99,9681-5847-4003-8102,4/12/2025,Rise Up (Lazarus),CAIN,Rise Up,Blues,Desktop,4,Workout,41,6/19/2024 14:49:06,No,0
Carol,Smith,ashdr.carolsmith@music.com,"9252 Ash Dr, NY",Basic,50,4.99,3432-9178-4922-3713,4/7/2025,Another in the Fire,Hillsong UNITED,People,Hip-Hop,Mobile,7,Study,89,6/1/2024 14:53:11,No,0
Carol,Wilson,ashdr.carolwilson@music.com,"5087 Ash Dr, IL",Premium,100,9.99,3137-5881-5287-8510,4/2/2025,God Only Knows,for KING & COUNTRY,Burn the Ships,Reggae,Desktop,3,Party,7,6/27/2024 14:51:06,No,0
Dave,White,ashdr.davewhite@music.com,"2329 Ash Dr, IL",Free,10,0,7002-3938-8655-9140,4/7/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Classical,Tablet,9,Relax,99,6/13/2024 14:50:35,Yes,0.25
Eve,Thomas,ashdr.evethomas@music.com,"2275 Ash Dr, PA",Basic,50,4.99,1181-9397-7402-8411,4/2/2025,Good Grace,Hillsong UNITED,People,Electronic,Tablet,8,Study,19,6/21/2024 14:48:54,No,0
Grace,King,ashdr.graceking@music.com,"315 Ash Dr, CA",Premium,100,9.99,4115-6420-6630-2626,3/28/2025,Oceans (Where Feet May Fail),Hillsong United,Zion,Electronic,Tablet,9,Road Trip,6,6/9/2024 14:50:33,No,0
Grace,Moore,ashdr.gracemoore@music.com,"5569 Ash Dr, WA",Premium,100,9.99,7140-6389-4553-6631,3/23/2025,Who You Say I Am,Hillsong Worship,There Is More,Country,Mobile,5,Relax,20,6/6/2024 14:50:49,No,0
Hank,Lopez,ashdr.hanklopez@music.com,"1750 Ash Dr, WA",Premium,100,9.99,2689-7173-5542-3356,3/18/2025,Alive & Breathing,Matt Maher,Alive & Breathing,Electronic,Mobile,4,Workout,25,6/27/2024 14:49:02,No,0
Nina,White,ashdr.ninawhite@music.com,"1304 Ash Dr, IL",Basic,50,4.99,4057-6118-9724-1081,3/13/2025,Graves into Gardens,Elevation Worship,Graves into Gardens,Electronic,Desktop,7,Workout,76,6/3/2024 14:49:11,No,0
Pam,Wilson,ashdr.pamwilson@music.com,"9719 Ash Dr, OH",Free,10,0,2088-7711-1964-9780,3/18/2025,Known,Tauren Wells,Hills and Valleys,Jazz,Tablet,4,Road Trip,4,6/2/2024 14:51:16,No,0
Rob,Anderson,ashdr.robanderson@music.com,"2993 Ash Dr, NC",Basic,50,4.99,9470-4833-5361-4772,3/13/2025,Hold On to Me,Lauren Daigle,Hold On to Me,Electronic,Desktop,4,Road Trip,5,6/5/2024 14:49:08,No,0
Sara,Davis,ashdr.saradavis@music.com,"5461 Ash Dr, NC",Premium,100,9.99,1994-6110-6659-7335,3/8/2025,You Say,Lauren Daigle,Look Up Child,Metal,Mobile,4,Chill,95,6/23/2024 14:52:20,No,0
Dave,Miller,birchst.davemiller@music.com,"1739 Birch St, OH",Basic,50,4.99,8489-6016-4974-4538,3/3/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Hip-Hop,Tablet,6,Workout,5,6/1/2024 14:51:22,No,0
Dave,Perez,birchst.daveperez@music.com,"5470 Birch St, TX",Basic,50,4.99,7100-7503-5751-6667,2/26/2025,Do It Again,Elevation Worship,There Is a Cloud,Hip-Hop,Tablet,6,Focus,38,6/15/2024 14:50:59,No,0
Leo,Martin,birchst.leomartin@music.com,"8329 Birch St, TX",Basic,50,4.99,5864-4672-9809-6916,2/21/2025,Who You Say I Am,Hillsong Worship,There Is More,Classical,Desktop,5,Road Trip,96,6/9/2024 14:50:34,No,0
Pam,Miller,birchst.pammiller@music.com,"8870 Birch St, MI",Free,10,0,4309-3474-4643-4920,2/26/2025,Battle Belongs,Phil Wickham,Hymn of Heaven,Rock,Mobile,4,Relax,9,6/20/2024 14:49:43,No,0
Pam,Miller,birchst.pammiller@music.com,"8870 Birch St, MI",Basic,50,4.99,1289-7841-6538-5966,2/21/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Rock,Desktop,9,Party,84,6/5/2024 14:52:13,No,0
Rob,Anderson,birchst.robanderson@music.com,"5224 Birch St, PA",Basic,50,4.99,2372-4979-4251-1098,2/16/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Electronic,Tablet,6,Relax,37,6/24/2024 14:52:28,No,0
Sara,Lopez,birchst.saralopez@music.com,"6979 Birch St, WA",Free,10,0,3010-3334-5765-3140,2/21/2025,Living Hope,Phil Wickham,Living Hope,Electronic,Desktop,5,Workout,30,6/14/2024 14:51:47,Yes,0.25
Alice,Davis,cedarave.alicedavis@music.com,"1479 Cedar Ave, CA",Free,10,0,9410-9581-4904-2148,2/26/2025,Rescue,Lauren Daigle,Look Up Child,Rock,Desktop,4,Relax,53,6/4/2024 14:52:19,No,0
Eve,Thompson,cedarave.evethompson@music.com,"6867 Cedar Ave, IL",Premium,100,9.99,4905-9131-7098-3887,2/21/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Rock,Desktop,9,Road Trip,6,6/29/2024 14:51:40,No,0
Grace,Johnson,cedarave.gracejohnson@music.com,"5112 Cedar Ave, NY",Basic,50,4.99,6438-8386-9295-1992,2/16/2025,God Only Knows,for KING & COUNTRY,Burn the Ships,Classical,Desktop,3,Sleep,75,6/17/2024 14:52:23,No,0
Jack,Smith,cedarave.jacksmith@music.com,"8778 Cedar Ave, PA",Basic,50,4.99,1509-1531-6501-5310,2/11/2025,Reckless Love,Cory Asbury,Reckless Love,Metal,Mobile,5,Road Trip,38,6/16/2024 14:52:07,No,0
Dave,Wilson,elmst.davewilson@music.com,"2121 Elm St, IL",Premium,100,9.99,5114-7996-5092-9674,2/6/2025,Holy Water,We The Kingdom,Holy Water,Jazz,Desktop,5,Chill,93,6/9/2024 14:52:38,No,0
Eve,Miller,elmst.evemiller@music.com,"8028 Elm St, PA",Free,10,0,6996-9954-2934-8029,2/11/2025,Hold On to Me,Lauren Daigle,Hold On to Me,Hip-Hop,Mobile,4,Party,78,6/6/2024 14:51:42,Yes,0.25
Hank,Anderson,elmst.hankanderson@music.com,"7691 Elm St, FL",Premium,100,9.99,2921-9564-5114-6231,2/6/2025,Battle Belongs,Phil Wickham,Hymn of Heaven,Classical,Tablet,4,Study,8,6/22/2024 14:49:04,No,0
Leo,Lopez,elmst.leolopez@music.com,"2663 Elm St, NY",Premium,100,9.99,7406-6008-7796-2522,2/1/2025,Raise a Hallelujah,Bethel Music,Victory,Classical,Desktop,7,Workout,37,6/6/2024 14:50:42,No,0
Mona,Lee,elmst.monalee@music.com,"8662 Elm St, CA",Free,10,0,2755-4287-3667-1621,2/6/2025,Chain Breaker,Zach Williams,Chain Breaker,Hip-Hop,Tablet,3,Party,79,6/8/2024 14:51:11,No,0
Nina,Lopez,elmst.ninalopez@music.com,"4519 Elm St, TX",Basic,50,4.99,4071-3469-8748-8422,2/1/2025,Who You Say I Am,Hillsong Worship,There Is More,Country,Desktop,5,Workout,69,6/1/2024 14:52:44,No,0
Pam,Scott,elmst.pamscott@music.com,"1467 Elm St, WA",Premium,100,9.99,6356-8247-6268-4590,1/27/2025,Rescue,Lauren Daigle,Look Up Child,Pop,Tablet,4,Party,26,6/4/2024 14:52:32,No,0
Quinn,Clark,elmst.quinnclark@music.com,"8984 Elm St, MI",Premium,100,9.99,5583-7949-9478-4471,1/22/2025,Do It Again,Elevation Worship,There Is a Cloud,Country,Tablet,6,Chill,45,6/28/2024 14:52:19,No,0
Rob,Smith,elmst.robsmith@music.com,"6527 Elm St, OH",Premium,100,9.99,3775-6052-7068-1414,1/17/2025,You Say,Lauren Daigle,Look Up Child,Pop,Tablet,4,Chill,67,6/20/2024 14:49:42,No,0
Sara,Thomas,elmst.sarathomas@music.com,"4479 Elm St, FL",Basic,50,4.99,4537-8695-9437-8355,1/12/2025,Living Hope,Phil Wickham,Living Hope,Classical,Desktop,5,Sleep,54,6/6/2024 14:52:51,No,0
Bob,Scott,hickoryct.bobscott@music.com,"6727 Hickory Ct, TX",Basic,50,4.99,7423-3985-1517-1286,1/7/2025,Rise Up (Lazarus),CAIN,Rise Up,Blues,Tablet,4,Sleep,72,6/2/2024 14:52:10,No,0
Carol,Jackson,hickoryct.caroljackson@music.com,"8419 Hickory Ct, CA",Free,10,0,6628-7522-7543-3119,1/12/2025,Do It Again,Elevation Worship,There Is a Cloud,Reggae,Tablet,6,Focus,38,6/8/2024 14:52:36,No,0
Carol,Thompson,hickoryct.carolthompson@music.com,"5960 Hickory Ct, NC",Free,10,0,6872-3334-8232-4865,1/17/2025,Rise Up (Lazarus),CAIN,Rise Up,Blues,Tablet,4,Party,16,6/3/2024 14:50:48,Yes,0.25
Dave,Lee,hickoryct.davelee@music.com,"638 Hickory Ct, OH",Premium,100,9.99,5270-6282-6026-6556,1/12/2025,Oceans (Where Feet May Fail),Hillsong United,Zion,Country,Tablet,9,Focus,59,6/17/2024 14:53:07,No,0
Dave,Smith,hickoryct.davesmith@music.com,"6262 Hickory Ct, CA",Free,10,0,3233-4825-2242-8735,1/17/2025,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Classical,Desktop,6,Road Trip,38,6/17/2024 14:50:26,No,0
Grace,Scott,hickoryct.gracescott@music.com,"4013 Hickory Ct, WA",Free,10,0,2361-6394-9743-2500,1/22/2025,Living Hope,Phil Wickham,Living Hope,Reggae,Mobile,5,Workout,55,6/4/2024 14:48:51,No,0
Grace,Scott,hickoryct.gracescott@music.com,"5087 Hickory Ct, FL",Basic,50,4.99,9943-5437-2009-1112,1/17/2025,Holy Water,We The Kingdom,Holy Water,Classical,Desktop,5,Focus,89,6/4/2024 14:50:41,No,0
Grace,White,hickoryct.gracewhite@music.com,"8997 Hickory Ct, TX",Premium,100,9.99,5384-6472-4450-7545,1/12/2025,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Jazz,Tablet,9,Road Trip,71,6/13/2024 14:52:41,No,0
Mona,King,hickoryct.monaking@music.com,"2096 Hickory Ct, PA",Basic,50,4.99,2166-1544-2070-5942,1/7/2025,Gratitude,Brandon Lake,House of Miracles,Hip-Hop,Desktop,7,Road Trip,44,6/18/2024 14:52:51,No,0
Nina,Scott,hickoryct.ninascott@music.com,"914 Hickory Ct, TX",Premium,100,9.99,1672-2039-2003-7717,1/2/2025,Living Hope,Phil Wickham,Living Hope,Rock,Desktop,5,Study,71,6/4/2024 14:51:19,No,0
Oscar,Perez,hickoryct.oscarperez@music.com,"9880 Hickory Ct, OH",Basic,50,4.99,9467-9920-2063-8601,12/28/2024,Hold On to Me,Lauren Daigle,Hold On to Me,Jazz,Tablet,4,Workout,88,6/13/2024 14:49:07,No,0
Pam,Perez,hickoryct.pamperez@music.com,"421 Hickory Ct, PA",Basic,50,4.99,7288-8272-8855-5139,12/23/2024,Famous For (I Believe),Tauren Wells,Citizen of Heaven,Hip-Hop,Desktop,4,Workout,77,6/9/2024 14:52:39,No,0
Rob,Smith,hickoryct.robsmith@music.com,"8230 Hickory Ct, OH",Basic,50,4.99,9629-1557-4660-2727,12/18/2024,Another in the Fire,Hillsong UNITED,People,Country,Tablet,7,Road Trip,57,6/28/2024 14:52:45,No,0
Tom,Wilson,hickoryct.tomwilson@music.com,"5441 Hickory Ct, MI",Free,10,0,1349-1051-2547-8102,12/23/2024,Way Maker,Leeland,Better Word,Classical,Tablet,8,Relax,87,6/20/2024 14:49:44,No,0
Tom,Wilson,hickoryct.tomwilson@music.com,"5441 Hickory Ct, MI",Free,10,0,2453-1905-8300-3366,12/28/2024,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Country,Desktop,6,Focus,66,6/24/2024 14:51:28,No,0
Grace,Anderson,maplest.graceanderson@music.com,"987 Maple St, TX",Basic,50,4.99,2450-4957-5197-7984,12/23/2024,Famous For (I Believe),Tauren Wells,Citizen of Heaven,Reggae,Tablet,4,Focus,60,6/26/2024 14:50:51,No,0
Grace,Wilson,maplest.gracewilson@music.com,"7024 Maple St, IL",Basic,50,4.99,2373-7414-8290-6230,12/18/2024,No Longer Slaves,Bethel Music,We Will Not Be Shaken,Classical,Mobile,6,Workout,31,6/8/2024 14:51:19,No,0
Hank,Anderson,maplest.hankanderson@music.com,"4059 Maple St, OH",Premium,100,9.99,2238-9620-6776-3646,12/13/2024,Gratitude,Brandon Lake,House of Miracles,Classical,Mobile,7,Road Trip,46,6/4/2024 14:49:04,No,0
Hank,Anderson,maplest.hankanderson@music.com,"4059 Maple St, OH",Free,10,0,2828-3571-4893-3863,12/18/2024,Rescue,Lauren Daigle,Look Up Child,Hip-Hop,Mobile,4,Sleep,1,6/3/2024 14:50:40,No,0
Jack,Davis,maplest.jackdavis@music.com,"7248 Maple St, CA",Premium,100,9.99,1125-9793-1795-3538,12/13/2024,Reckless Love,Cory Asbury,Reckless Love,Blues,Mobile,5,Party,33,6/25/2024 14:52:49,No,0
Karen,Anderson,maplest.karenanderson@music.com,"4167 Maple St, CA",Basic,50,4.99,1331-5117-1721-4834,12/8/2024,Rescue,Lauren Daigle,Look Up Child,Jazz,Tablet,4,Road Trip,10,6/16/2024 14:51:42,No,0
Nina,Johnson,maplest.ninajohnson@music.com,"7465 Maple St, FL",Basic,50,4.99,7143-2775-7535-9204,12/3/2024,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Classical,Mobile,4,Party,15,6/16/2024 14:50:52,No,0
Nina,Martin,maplest.ninamartin@music.com,"35 Maple St, TX",Free,10,0,6470-7631-3008-5194,12/8/2024,Gratitude,Brandon Lake,House of Miracles,Reggae,Mobile,7,Party,14,6/29/2024 14:51:10,No,0
Sara,Perez,maplest.saraperez@music.com,"1845 Maple St, IL",Free,10,0,4358-8561-2484-3919,12/13/2024,Way Maker,Leeland,Better Word,Metal,Mobile,8,Party,71,6/5/2024 14:51:00,No,0
Carol,Jackson,oakave.caroljackson@music.com,"4145 Oak Ave, FL",Free,10,0,9015-9015-4919-7019,12/18/2024,You Say,Lauren Daigle,Look Up Child,Pop,Desktop,4,Sleep,56,6/13/2024 14:49:42,No,0
Eve,Thomas,oakave.evethomas@music.com,"1709 Oak Ave, NY",Free,10,0,8687-1012-4602-8991,12/23/2024,Do It Again,Elevation Worship,There Is a Cloud,Classical,Mobile,6,Chill,15,6/20/2024 14:51:14,No,0
Grace,Lee,oakave.gracelee@music.com,"2061 Oak Ave, NY",Premium,100,9.99,2682-6124-1993-7064,12/18/2024,Till I Found You,Phil Wickham,Living Hope,Metal,Tablet,5,Road Trip,35,6/26/2024 14:49:14,No,0
Grace,Lee,oakave.gracelee@music.com,"2061 Oak Ave, NY",Free,10,0,6016-3563-1251-6904,12/23/2024,Rise Up (Lazarus),CAIN,Rise Up,Classical,Mobile,4,Relax,49,6/2/2024 14:52:06,No,0
Grace,Lee,oakave.gracelee@music.com,"2061 Oak Ave, NY",Basic,50,4.99,4672-4348-4020-5776,12/18/2024,Oceans (Where Feet May Fail),Hillsong United,Zion,Pop,Tablet,9,Focus,79,6/14/2024 14:52:24,No,0
Nina,Thomas,oakave.ninathomas@music.com,"5257 Oak Ave, TX",Basic,50,4.99,7358-4202-9706-1271,12/13/2024,You Say,Lauren Daigle,Look Up Child,Country,Mobile,4,Party,46,6/2/2024 14:50:29,No,0
Rob,White,oakave.robwhite@music.com,"6246 Oak Ave, CA",Basic,50,4.99,6000-3067-4359-6071,12/8/2024,Till I Found You,Phil Wickham,Living Hope,Metal,Desktop,5,Party,15,6/14/2024 14:52:06,No,0
Sara,Jackson,oakave.sarajackson@music.com,"6786 Oak Ave, NC",Premium,100,9.99,4733-1369-2063-3912,12/3/2024,Way Maker,Leeland,Better Word,Metal,Tablet,8,Relax,11,6/27/2024 14:50:38,No,0
Sara,Perez,oakave.saraperez@music.com,"6061 Oak Ave, PA",Free,10,0,1174-5399-8698-3244,12/8/2024,Holy Water,We The Kingdom,Holy Water,Classical,Mobile,5,Relax,9,6/28/2024 14:51:04,No,0
Eve,Brown,pinerd.evebrown@music.com,"2171 Pine Rd, WA",Free,10,0,2606-4563-6095-2745,12/13/2024,Another in the Fire,Hillsong UNITED,People,Jazz,Tablet,7,Study,18,6/16/2024 14:49:19,No,0
Eve,Wilson,pinerd.evewilson@music.com,"6510 Pine Rd, FL",Free,10,0,1283-7823-2778-8688,12/18/2024,Graves into Gardens,Elevation Worship,Graves into Gardens,Pop,Desktop,7,Workout,39,6/13/2024 14:50:36,No,0
Grace,Miller,pinerd.gracemiller@music.com,"1536 Pine Rd, PA",Free,10,0,2339-6032-8187-9581,12/23/2024,King of Kings,Hillsong Worship,Awake,Hip-Hop,Desktop,5,Workout,61,6/26/2024 14:52:22,No,0
Karen,Perez,pinerd.karenperez@music.com,"530 Pine Rd, FL",Premium,100,9.99,4526-4620-6721-2516,12/18/2024,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Blues,Desktop,9,Sleep,15,6/30/2024 14:49:12,No,0
Karen,Thomas,pinerd.karenthomas@music.com,"5875 Pine Rd, MI",Premium,100,9.99,9132-7028-2407-5001,12/13/2024,Oceans (Where Feet May Fail),Hillsong United,Zion,Jazz,Mobile,9,Sleep,10,6/4/2024 14:48:50,No,0
Pam,White,pinerd.pamwhite@music.com,"209 Pine Rd, MI",Free,10,0,4483-4172-1313-2207,12/18/2024,Living Hope,Phil Wickham,Living Hope,Electronic,Desktop,5,Relax,67,6/17/2024 14:53:08,No,0
Tom,Smith,pinerd.tomsmith@music.com,"2105 Pine Rd, MI",Premium,100,9.99,9393-8062-1887-4548,12/13/2024,Alive & Breathing,Matt Maher,Alive & Breathing,Reggae,Desktop,4,Chill,62,6/8/2024 14:52:14,No,0
Bob,Johnson,spruceln.bobjohnson@music.com,"6966 Spruce Ln, OH",Free,10,0,3237-3044-3370-3614,12/18/2024,Till I Found You,Phil Wickham,Living Hope,Electronic,Tablet,5,Study,84,6/7/2024 14:51:00,No,0
Bob,Lopez,spruceln.boblopez@music.com,"9382 Spruce Ln, PA",Premium,100,9.99,3689-9244-6896-2433,12/13/2024,The Blessing,Kari Jobe & Cody Carnes,The Blessing,Country,Desktop,9,Workout,21,6/7/2024 14:49:09,No,0
Carol,Jackson,spruceln.caroljackson@music.com,"4972 Spruce Ln, NC",Basic,50,4.99,8222-5306-8233-7255,12/8/2024,Good Grace,Hillsong UNITED,People,Hip-Hop,Desktop,8,Workout,92,6/24/2024 14:49:44,No,0
Carol,Johnson,spruceln.caroljohnson@music.com,"9015 Spruce Ln, TX",Premium,100,9.99,4822-2649-5640-2323,12/3/2024,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Metal,Tablet,4,Study,86,6/21/2024 14:53:16,No,0
Dave,Martin,spruceln.davemartin@music.com,"6811 Spruce Ln, CA",Free,10,0,1424-4308-2638-8752,12/8/2024,God Only Knows,for KING & COUNTRY,Burn the Ships,Metal,Desktop,3,Relax,9,6/23/2024 14:50:44,No,0
Dave,Martin,spruceln.davemartin@music.com,"6811 Spruce Ln, CA",Premium,100,9.99,5962-2691-1459-8615,12/3/2024,Raise a Hallelujah,Bethel Music,Victory,Hip-Hop,Tablet,7,Workout,77,6/30/2024 14:51:25,No,0
Karen,Clark,spruceln.karenclark@music.com,"6127 Spruce Ln, MI",Basic,50,4.99,4262-9644-4857-8388,11/28/2024,Good Grace,Hillsong UNITED,People,Metal,Tablet,8,Relax,18,6/27/2024 14:51:12,No,0
Leo,Jackson,spruceln.leojackson@music.com,"4789 Spruce Ln, PA",Basic,50,4.99,2289-2504-7052-4037,11/23/2024,Rescue,Lauren Daigle,Look Up Child,Blues,Mobile,4,Relax,68,6/15/2024 14:49:22,No,0
Leo,Jackson,spruceln.leojackson@music.com,"4789 Spruce Ln, PA",Basic,50,4.99,7978-4769-3885-3865,11/18/2024,Battle Belongs,Phil Wickham,Hymn of Heaven,Metal,Tablet,4,Sleep,84,6/24/2024 14:50:40,No,0
Oscar,Scott,spruceln.oscarscott@music.com,"1166 Spruce Ln, FL",Free,10,0,5211-4531-5721-3237,11/23/2024,Raise a Hallelujah,Bethel Music,Victory,Metal,Desktop,7,Road Trip,77,6/29/2024 14:49:11,No,0
Oscar,Taylor,spruceln.oscartaylor@music.com,"8434 Spruce Ln, PA",Basic,50,4.99,8147-5867-8373-2037,11/18/2024,See a Victory,Elevation Worship,At Midnight,Rock,Desktop,6,Road Trip,12,6/25/2024 14:52:01,No,0
Rob,King,spruceln.robking@music.com,"3305 Spruce Ln, NC",Free,10,0,4150-8585-3845-2269,11/23/2024,Battle Belongs,Phil Wickham,Hymn of Heaven,Hip-Hop,Desktop,4,Sleep,22,6/2/2024 14:51:44,No,0
Sara,Anderson,spruceln.saraanderson@music.com,"145 Spruce Ln, FL",Free,10,0,2758-9182-6738-7253,11/28/2024,You Say,Lauren Daigle,Look Up Child,Electronic,Mobile,4,Road Trip,83,6/21/2024 14:50:40,No,0
Carol,King,birchst.carolking@music.com,"5958 Birch St, NY",Free,10,0,2067-2208-1549-6435,11/23/2024,You Say,Lauren Daigle,Look Up Child,Country,Mobile,4,Party,38,7/3/2024 18:01:33,No,0
Eve,Brown,willowblvd.evebrown@music.com,"8961 Willow Blvd, FL",Premium,100,9.99,5028-1901-5151-1582,11/18/2024,Rescue,Lauren Daigle,Look Up Child,Country,Desktop,4,Chill,76,6/7/2024 14:49:38,No,0
Frank,Lopez,willowblvd.franklopez@music.com,"942 Willow Blvd, PA",Free,10,0,6947-8763-4855-1830,11/23/2024,There Was Jesus,Zach Williams ft. Dolly Parton,Rescue Story,Reggae,Mobile,4,Chill,97,6/14/2024 14:49:57,No,0
Grace,King,willowblvd.graceking@music.com,"7580 Willow Blvd, WA",Premium,100,9.99,5511-5912-5434-1715,11/18/2024,Famous For (I Believe),Tauren Wells,Citizen of Heaven,Classical,Mobile,4,Workout,50,6/17/2024 14:50:13,No,0
Leo,Perez,willowblvd.leoperez@music.com,"5135 Willow Blvd, FL",Basic,50,4.99,4367-6796-5180-9076,11/13/2024,Who You Say I Am,Hillsong Worship,There Is More,Electronic,Tablet,5,Study,62,6/21/2024 14:49:59,No,0
Mona,Smith,willowblvd.monasmith@music.com,"7911 Willow Blvd, IL",Basic,50,4.99,7011-5771-1277-5184,11/8/2024,Way Maker,Leeland,Better Word,Rock,Tablet,8,Sleep,49,6/20/2024 14:49:37,No,0
Nina,Wilson,willowblvd.ninawilson@music.com,"5367 Willow Blvd, MI",Basic,50,4.99,5373-5951-7220-2935,11/3/2024,Way Maker,Leeland,Better Word,Hip-Hop,Desktop,8,Chill,81,6/12/2024 14:49:47,No,0
Nina,Wilson,willowblvd.ninawilson@music.com,"5367 Willow Blvd, MI",Basic,50,4.99,7526-8416-7411-7655,10/29/2024,Till I Found You,Phil Wickham,Living Hope,Electronic,Tablet,5,Study,61,6/27/2024 14:50:43,No,0
